-1.5,0.3,0.6,413.0
-0.3,1.5,0.3,581.0
1.5,-0.9,-1.2,1400.12
2.22044604925e-16,1.5,-0.9,1218.5
1.2,1.5,0.6,272.9
0.6,0.9,-1.5,562.94
-0.3,-0.6,1.5,181.82
0.3,-0.3,-1.5,270.2
-0.9,-0.9,2.22044604925e-16,365.24
1.2,1.5,-0.6,812.9
1.5,1.2,-0.3,413.3
-0.6,1.2,0.9,102.32
-0.9,1.5,0.6,323.72
-0.3,0.9,-0.3,190.52
-1.5,-1.2,0.9,1230.5
1.5,-1.2,-1.2,1892.3
0.3,0.6,1.2,97.22
1.2,-0.3,-0.9,402.5
1.5,0.3,-0.9,479.0
0.9,0.3,1.2,149.72
0.3,0.9,-1.5,599.72
-0.6,-1.5,0.3,735.02
-0.3,-1.5,0.6,533.0
0.6,-0.6,-0.3,138.44
0.3,-0.3,-0.6,65.0
0.3,0.6,-0.9,185.42
-1.2,0.9,-0.9,326.42
0.6,-1.5,1.5,408.62
0.6,2.22044604925e-16,0.3,23.12
0.3,0.3,0.9,71.0
-0.6,-0.9,-1.2,568.94
0.9,-1.5,-1.5,1946.12
-1.5,-0.9,-1.2,1406.12
-0.9,-0.3,1.5,327.32
0.9,0.6,-0.3,48.14
-0.3,0.9,-1.2,471.32
1.2,0.9,0.9,30.02
-1.5,-0.6,-0.9,979.82
1.5,-0.6,-0.6,907.22
1.2,1.5,2.22044604925e-16,506.9
-1.2,1.5,1.5,61.7
0.9,0.9,-1.2,404.84
0.6,1.2,-1.2,767.72
1.5,-0.3,2.22044604925e-16,653.0
2.22044604925e-16,0.9,0.3,108.02
0.9,0.6,-0.6,96.74
1.2,-1.2,-1.2,1398.8
-1.5,1.2,-0.6,532.7
0.6,-0.9,1.2,177.74
-0.6,0.6,-1.2,251.84
-0.6,0.3,0.9,69.02
-0.3,-1.2,0.6,243.5
0.6,1.5,0.3,510.62
1.5,1.5,0.6,329.0
1.2,-1.5,1.5,926.9
0.6,0.3,1.5,199.82
0.9,0.3,-1.2,192.92
0.6,0.3,-1.2,167.42
-0.3,2.22044604925e-16,1.2,147.5
-0.9,2.22044604925e-16,-0.3,79.22
-1.2,1.2,1.5,11.0
2.22044604925e-16,-1.5,0.9,414.5
2.22044604925e-16,-0.6,0.3,39.92
0.6,-1.2,0.3,378.32
2.22044604925e-16,-0.6,1.5,169.52
0.9,2.22044604925e-16,0.9,147.62
-1.5,-0.6,0.9,850.22
0.9,0.6,-1.5,350.54
1.2,2.22044604925e-16,-1.5,433.4
1.2,0.3,-1.2,296.9
-1.2,0.3,-0.3,150.5
1.2,0.3,1.2,253.7
0.3,-0.9,1.2,117.32
1.2,0.3,-0.6,178.1
2.22044604925e-16,-0.9,-0.6,284.42
-0.9,2.22044604925e-16,0.6,106.22
1.5,-0.3,0.3,656.6
1.5,0.3,-0.3,396.2
-1.5,-0.9,-0.3,1125.32
-1.5,-1.5,2.22044604925e-16,1925.0
0.3,-1.5,0.6,531.8
-1.2,-0.9,0.6,560.42
2.22044604925e-16,-0.9,0.9,86.42
-0.9,0.9,0.9,5.24
0.3,2.22044604925e-16,-0.9,83.3
-1.5,0.6,0.9,307.82
2.22044604925e-16,0.6,-1.2,280.52
-1.5,0.9,-0.9,480.92
-1.5,0.3,0.9,452.6
-1.5,-0.9,-1.5,1535.72
-0.9,-0.3,-0.6,176.12
-0.9,1.5,0.3,431.72
1.5,0.6,-1.2,516.02
1.5,2.22044604925e-16,-0.9,588.5
0.9,-0.3,-0.6,172.52
0.9,-1.5,-1.2,1730.12
-0.6,-0.3,2.22044604925e-16,48.62
1.5,0.9,-0.6,381.32
-0.3,2.22044604925e-16,2.22044604925e-16,3.5
0.3,1.5,-1.5,1605.8
-1.2,2.22044604925e-16,-0.6,249.2
1.5,-0.3,0.9,717.8
-0.3,-0.3,0.3,23.0
0.9,1.2,1.2,21.02
-0.6,-1.2,-1.5,1115.12
-0.9,0.6,0.3,8.54
0.6,0.9,0.9,30.14
1.5,-0.3,-0.6,699.8
-1.2,-1.5,1.2,985.7
-0.3,-0.6,-1.2,295.22
0.3,1.5,0.9,381.8
0.6,1.5,0.9,312.62
-0.6,-0.3,-0.9,145.82
-0.3,-0.9,1.2,118.52
1.5,1.2,-0.6,526.7
0.6,-0.9,-0.6,361.34
1.5,0.9,0.9,183.32
1.2,2.22044604925e-16,-0.9,289.4
-0.6,0.6,-0.6,100.64
0.6,0.6,-1.5,352.04
1.5,-1.5,-0.9,2405.0
-1.5,1.5,0.6,335.0
-1.2,0.3,0.3,139.7
-1.5,-1.2,2.22044604925e-16,1408.7
